annee,parametre,entite_geo,indicateur,valeur
2008,Orthophosp,FRF_ADOU,indic_b100,"0,6531759907"
2009,Orthophosp,FRF_ADOU,indic_b100,"0,5697115385"
2010,Orthophosp,FRF_ADOU,indic_b100,"0,7013065449"
2011,Orthophosp,FRF_ADOU,indic_b100,"0,4755888679"
2012,Orthophosp,FRF_ADOU,indic_b100,"0,5501672486"
2013,Orthophosp,FRF_ADOU,indic_b100,"0,4229880536"
2014,Orthophosp,FRF_ADOU,indic_b100,"0,434427521"
2015,Orthophosp,FRF_ADOU,indic_b100,"0,4666382416"
2016,Orthophosp,FRF_ADOU,indic_b100,"0,6185281065"
2017,Orthophosp,FRF_ADOU,indic_b100,"0,5614844157"
2018,Orthophosp,FRF_ADOU,indic_b100,"0,4528160012"
1971,NO3-,FRF_CHAR,indic_b100,"0,7975133121"
1972,NO3-,FRF_CHAR,indic_b100,"0,4247899095"
1973,NO3-,FRF_CHAR,indic_b100,"1,0268674235"
1974,NO3-,FRF_CHAR,indic_b100,"1,0794438522"
1975,NO3-,FRF_CHAR,indic_b100,"1,0231032516"
1976,NO3-,FRF_CHAR,indic_b100,"1,0824330677"
1977,NO3-,FRF_CHAR,indic_b100,"1,398"
1978,NO3-,FRF_CHAR,indic_b100,"1,1129385965"
1979,NO3-,FRF_CHAR,indic_b100,"1,6503972758"
1980,NO3-,FRF_CHAR,indic_b100,"1,5578996339"
1981,NO3-,FRF_CHAR,indic_b100,"1,9765011091"
1982,NO3-,FRF_CHAR,indic_b100,"2,0362870393"
1983,NO3-,FRF_CHAR,indic_b100,"1,7718501703"
1984,NO3-,FRF_CHAR,indic_b100,"1,8785046729"
1985,NO3-,FRF_CHAR,indic_b100,"1,6853582555"
1986,NO3-,FRF_CHAR,indic_b100,"2,0352453026"
1987,NO3-,FRF_CHAR,indic_b100,"1,6844494892"
1988,NO3-,FRF_CHAR,indic_b100,"2,2193258698"
1989,NO3-,FRF_CHAR,indic_b100,"1,5748768253"
1990,NO3-,FRF_CHAR,indic_b100,"1,5701490424"
1991,NO3-,FRF_CHAR,indic_b100,"2,0527031387"
1992,NO3-,FRF_CHAR,indic_b100,"1,8914869467"
1993,NO3-,FRF_CHAR,indic_b100,"1,9507788162"
1994,NO3-,FRF_CHAR,indic_b100,"2,3504672897"
1995,NO3-,FRF_CHAR,indic_b100,"2,1209840025"
1996,NO3-,FRF_CHAR,indic_b100,"1,7550991781"
1997,NO3-,FRF_CHAR,indic_b100,"2,1962616822"
1998,NO3-,FRF_CHAR,indic_b100,"2,4411977078"
1999,NO3-,FRF_CHAR,indic_b100,"2,4042216852"
2000,NO3-,FRF_CHAR,indic_b100,"2,3324805068"
2001,NO3-,FRF_CHAR,indic_b100,"2,2292849035"
2002,NO3-,FRF_CHAR,indic_b100,"1,943246311"
2003,NO3-,FRF_CHAR,indic_b100,"1,9627051531"
2004,NO3-,FRF_CHAR,indic_b100,"2,0614035088"
2005,NO3-,FRF_CHAR,indic_b100,"1,6751762432"
2006,NO3-,FRF_CHAR,indic_b100,"2,3700340522"
2007,NO3-,FRF_CHAR,indic_b100,"2,3719948018"
2008,NO3-,FRF_CHAR,indic_b100,"2,3673346618"
2009,NO3-,FRF_CHAR,indic_b100,"2,1718058555"
2010,NO3-,FRF_CHAR,indic_b100,"1,995933279"
2011,NO3-,FRF_CHAR,indic_b100,"2,0210709777"
2012,NO3-,FRF_CHAR,indic_b100,"2,5781309118"
2013,NO3-,FRF_CHAR,indic_b100,"2,8867917434"
2014,NO3-,FRF_CHAR,indic_b100,"2,6679315625"
2015,NO3-,FRF_CHAR,indic_b100,"2,370893441"
2016,NO3-,FRF_CHAR,indic_b100,"2,2088535755"
2017,NO3-,FRF_CHAR,indic_b100,"2,019909956"
2018,NO3-,FRF_CHAR,indic_b100,"2,4923907966"
1971,NO3-,FRF_LITT,indic_b100,"0,8292226613"
1972,NO3-,FRF_LITT,indic_b100,"0,9521664346"
1973,NO3-,FRF_LITT,indic_b100,"1,1118846752"
1974,NO3-,FRF_LITT,indic_b100,"0,9517114464"
1975,NO3-,FRF_LITT,indic_b100,"1,0156077443"
1976,NO3-,FRF_LITT,indic_b100,"1,0856009123"
1977,NO3-,FRF_LITT,indic_b100,"1,4352272785"
1978,NO3-,FRF_LITT,indic_b100,"1,1027417357"
1979,NO3-,FRF_LITT,indic_b100,"1,2150181965"
1980,NO3-,FRF_LITT,indic_b100,"1,4585414872"
1981,NO3-,FRF_LITT,indic_b100,"1,4638704338"
1982,NO3-,FRF_LITT,indic_b100,"1,7304503336"
1983,NO3-,FRF_LITT,indic_b100,"1,1523286263"
1984,NO3-,FRF_LITT,indic_b100,"1,6028618721"
1985,NO3-,FRF_LITT,indic_b100,"1,2310322002"
1986,NO3-,FRF_LITT,indic_b100,"1,200419315"
1987,NO3-,FRF_LITT,indic_b100,"1,2183909487"
1988,NO3-,FRF_LITT,indic_b100,"1,5843803174"
1989,NO3-,FRF_LITT,indic_b100,"1,2237295445"
1990,NO3-,FRF_LITT,indic_b100,"1,2242662124"
1991,NO3-,FRF_LITT,indic_b100,"1,4699016837"
1992,NO3-,FRF_LITT,indic_b100,"1,4997798393"
1993,NO3-,FRF_LITT,indic_b100,"1,8380255451"
1994,NO3-,FRF_LITT,indic_b100,"1,7876899632"
1995,NO3-,FRF_LITT,indic_b100,"1,2476347741"
1996,NO3-,FRF_LITT,indic_b100,"1,307906316"
1997,NO3-,FRF_LITT,indic_b100,"1,6803143673"
1998,NO3-,FRF_LITT,indic_b100,"1,7625981392"
1999,NO3-,FRF_LITT,indic_b100,"1,7724925387"
2000,NO3-,FRF_LITT,indic_b100,"2,3426441658"
2001,NO3-,FRF_LITT,indic_b100,"1,508737068"
2002,NO3-,FRF_LITT,indic_b100,"1,4468308064"
2003,NO3-,FRF_LITT,indic_b100,"1,8008318643"
2004,NO3-,FRF_LITT,indic_b100,"1,4547750957"
2005,NO3-,FRF_LITT,indic_b100,"1,4964363507"
2006,NO3-,FRF_LITT,indic_b100,"1,7385821821"
2007,NO3-,FRF_LITT,indic_b100,"2,0090312268"
2008,NO3-,FRF_LITT,indic_b100,"1,9271057068"
2009,NO3-,FRF_LITT,indic_b100,"1,7788357367"
2010,NO3-,FRF_LITT,indic_b100,"1,6645652023"
2011,NO3-,FRF_LITT,indic_b100,"1,6037720877"
