annee,lb_geo,POSOR_MO,POSOR_DBO5,POSOR_NR,POSOR_PT
2000,82,"0,819","0,546","0,043","0,042"
2000,86,"0,112","0,0746666667","0,001","0,003"
2000,87,"0,143","0,0953333333","0,006","0,002"
2000,bag,"121,546","81,0306666667","12,075","2,542"
2000,FRF_ADOU,"23,637","15,758","3,765","1,103"
2000,FRF_CHAR,"11,246","7,4973333333","1,489","0,19"
2000,FRF_DORD,"23,053","15,3686666667","0,876","0,271"
2000,FRF_GARO,"21,122","14,0813333333","3,188","0,436"
2000,FRF_LITT,"10,009","6,6726666667","0,702","0,213"
2000,FRF_LOT,"7,415","4,9433333333","0,217","0,102"
2000,FRF_TARN,"9,224","6,1493333333","1,672","0,157"
2001,09,"1,394","0,9293333333","0,076","0,01"
2001,11,"0,006","0,004","0,001",NA
2001,12,"0,484","0,3226666667","0,076","0,044"
2001,15,"1,008","0,672","0,086","0,132"
2001,16,"10,865","7,2433333333","1,076","0,158"
2001,17,"1,735","1,1566666667","0,233","0,052"
2001,19,"1,994","1,3293333333","0,051","0,046"
2001,24,"10,891","7,2606666667","0,335","0,082"
2001,31,"8,742","5,828","1,517","0,234"
2001,32,"1,373","0,9153333333","0,09","0,019"
2001,33,"16,76","11,1733333333","0,946","0,361"
2001,40,"18,465","12,31","1,999","0,787"
2001,46,"1,837","1,2246666667","0,067","0,022"
2001,47,"6,114","4,076","0,257","0,05"
2001,48,"0,115","0,0766666667","0,011","0,015"
2001,63,"0,301","0,2006666667","0,03","0,023"
2001,64,"5,342","3,5613333333","0,969","0,392"
2001,65,"1,278","0,852","0,338","0,063"
2001,79,"0,72","0,48","0,05","0,013"
2001,81,"6,868","4,5786666667","1,809","0,114"
2001,82,"0,685","0,4566666667","0,039","0,04"
2001,86,"0,139","0,0926666667","0,006","0,027"
2001,87,"0,157","0,1046666667","0,007","0,002"
2001,bag,"114,064","76,0426666667","10,231","2,726"
2001,FRF_ADOU,"24,326","16,2173333333","2,661","1,081"
2001,FRF_CHAR,"12,179","8,1193333333","1,278","0,231"
2001,FRF_DORD,"21,104","14,0693333333","0,949","0,442"
2001,FRF_GARO,"21,173","14,1153333333","2,35","0,443"
2001,FRF_LITT,"8,699","5,7993333333","0,795","0,221"
2001,FRF_LOT,"6,039","4,026","0,168","0,1"
2001,FRF_TARN,"8,055","5,37","1,927","0,16"
2002,09,"1,328","0,8853333333","0,068","0,013"
2002,11,"0,002","0,0013333333",NA,NA
2002,12,"0,473","0,3153333333","0,064","0,045"
2002,15,"1,377","0,918","0,168","0,097"
2002,16,"10,471","6,9806666667","1,366","0,114"
2002,17,"1,556","1,0373333333","0,225","0,074"
2002,19,"2,025","1,35","0,065","0,009"
2002,24,"8,151","5,434","0,401","0,087"
2002,31,"7,269","4,846","0,991","0,258"
2002,32,"1,051","0,7006666667","0,12","0,023"
2002,33,"12,558","8,372","0,97","0,351"
2002,40,"18,134","12,0893333333","1,975","0,79"
