geo,parametre,type_indic,seq_annee,lb_annee,i_b100
bag,NO3-,indic_b100,1980-1985,1980,"154,8"
FRF_ADOU,NO3-,indic_b100,1980-1985,1980,"170,4"
FRF_CHAR,NO3-,indic_b100,1980-1985,1980,"188,4"
FRF_DORD,NO3-,indic_b100,1980-1985,1980,"157,6"
FRF_GARO,NO3-,indic_b100,1980-1985,1980,"135,2"
FRF_LITT,NO3-,indic_b100,1980-1985,1980,"138,2"
FRF_LOT,NO3-,indic_b100,1980-1985,1980,"161,8"
FRF_TARN,NO3-,indic_b100,1980-1985,1980,"148,6"
09,Orthophosp,indic_b100,1980-1985,1980,121
12,Orthophosp,indic_b100,1980-1985,1980,"77,4"
15,Orthophosp,indic_b100,1980-1985,1980,"226,2"
16,Orthophosp,indic_b100,1980-1985,1980,"94,2"
17,Orthophosp,indic_b100,1980-1985,1980,"75,6"
19,Orthophosp,indic_b100,1980-1985,1980,"90,4"
24,Orthophosp,indic_b100,1980-1985,1980,"75,2"
31,Orthophosp,indic_b100,1980-1985,1980,"67,8"
32,Orthophosp,indic_b100,1980-1985,1980,103
33,Orthophosp,indic_b100,1980-1985,1980,82
40,Orthophosp,indic_b100,1980-1985,1980,"111,8"
46,Orthophosp,indic_b100,1980-1985,1980,91
47,Orthophosp,indic_b100,1980-1985,1980,80
48,Orthophosp,indic_b100,1980-1985,1980,"97,2"
64,Orthophosp,indic_b100,1980-1985,1980,"105,8"
65,Orthophosp,indic_b100,1980-1985,1980,"169,6"
79,Orthophosp,indic_b100,1980-1985,1980,171
81,Orthophosp,indic_b100,1980-1985,1980,"85,6"
82,Orthophosp,indic_b100,1980-1985,1980,"67,2"
bag,Orthophosp,indic_b100,1980-1985,1980,"89,4"
FRF_ADOU,Orthophosp,indic_b100,1980-1985,1980,"113,8"
FRF_CHAR,Orthophosp,indic_b100,1980-1985,1980,"101,6"
FRF_DORD,Orthophosp,indic_b100,1980-1985,1980,"83,4"
FRF_GARO,Orthophosp,indic_b100,1980-1985,1980,"82,6"
FRF_LITT,Orthophosp,indic_b100,1980-1985,1980,73
FRF_LOT,Orthophosp,indic_b100,1980-1985,1980,"76,6"
FRF_TARN,Orthophosp,indic_b100,1980-1985,1980,"81,2"
09,DBO5,indic_b100,1985-1990,1985,"93,2"
12,DBO5,indic_b100,1985-1990,1985,69
15,DBO5,indic_b100,1985-1990,1985,"61,8"
16,DBO5,indic_b100,1985-1990,1985,"93,2"
17,DBO5,indic_b100,1985-1990,1985,"90,2"
19,DBO5,indic_b100,1985-1990,1985,"123,4"
24,DBO5,indic_b100,1985-1990,1985,"81,4"
31,DBO5,indic_b100,1985-1990,1985,"64,8"
32,DBO5,indic_b100,1985-1990,1985,"68,4"
33,DBO5,indic_b100,1985-1990,1985,"85,8"
40,DBO5,indic_b100,1985-1990,1985,"87,4"
46,DBO5,indic_b100,1985-1990,1985,59
47,DBO5,indic_b100,1985-1990,1985,"48,2"
48,DBO5,indic_b100,1985-1990,1985,"65,6"
64,DBO5,indic_b100,1985-1990,1985,"59,8"
65,DBO5,indic_b100,1985-1990,1985,39
79,DBO5,indic_b100,1985-1990,1985,"90,2"
81,DBO5,indic_b100,1985-1990,1985,"96,8"
82,DBO5,indic_b100,1985-1990,1985,49
bag,DBO5,indic_b100,1985-1990,1985,"71,8"
FRF_ADOU,DBO5,indic_b100,1985-1990,1985,"73,6"
FRF_CHAR,DBO5,indic_b100,1985-1990,1985,"91,6"
FRF_DORD,DBO5,indic_b100,1985-1990,1985,"87,2"
FRF_GARO,DBO5,indic_b100,1985-1990,1985,"57,8"
